"648","BERGESSERIN","71250"
"649","CHAMBILLY","71110"
"650","CHASSEY LE CAMP","71150"
"651","CHATENOY EN BRESSE","71380"
"652","CHEVAGNY SUR GUYE","71220"
"653","CRISSEY","71530"
"654","CURTIL SOUS BUFFIERES","71520"
"655","DAVAYE","71960"
"656","FUISSE","71960"
"657","GERMAGNY","71460"
"658","LIGNY EN BRIONNAIS","71110"
"659","MALTAT","71140"
"660","MONTAGNY LES BUXY","71390"
"661","MONTAGNY SUR GROSNE","71520"
"662","ST LAURENT EN BRIONNAIS","71800"
"663","ST MARCELIN DE CRAY","71460"
"664","VAREILLES","71800"
"665","JUIGNE SUR SARTHE","72300"
"666","JUILLE","72170"
"667","LIVET EN SAOSNOIS","72610"
"668","LES MEES","72260"
"669","MEURCE","72170"
"670","ST CALAIS","72120"
"671","ST PIERRE DE CHEVILLE","72500"
"672","APREMONT","73190"
"673","BASSENS","73000"
"674","CHAMPAGNEUX","73240"
"675","LA CHAPELLE BLANCHE","73110"
"676","LA COMPOTE","73630"
"677","DOUCY EN BAUGES","73630"
"678","EPIERRE","73220"
"679","FEISSONS SUR SALINS","73350"
"680","FRONTENEX","73460"
"681","LEPIN LE LAC","73610"
"682","LOISIEUX","73170"
"683","LUCEY","73170"
"684","MONTENDRY","73390"
"685","MONTVERNIER","73300"
"686","MOUTIERS","73600"
"687","NOTRE DAME DE BELLECOMBE","73590"
"688","ST ALBAN DE MONTBEL","73610"
"689","ST MARTIN SUR LA CHAMBRE","73130"
"690","ST REMY DE MAURIENNE","73660"
"691","ABONDANCE","74360"
"692","ALLONZIER LA CAILLE","74350"
"693","BONNEVAUX","74360"
"694","LE BOUCHET","74230"
"695","LA CHAPELLE D ABONDANCE","74360"
"696","CLUSES","74300"
"697","CONS STE COLOMBE","74210"
"698","CONTAMINE SARZIN","74270"
"699","CRUSEILLES","74350"
"700","ESSERT ROMAND","74110"
"701","ECUELLE","70600"
"702","ETOBON","70400"
"703","FILAIN","70230"
"704","FONDREMAND","70190"
"705","HYET","70190"
"706","LURE","70200"
"707","MAILLERONCOURT ST PANCRAS","70210"
"708","LA MALACHERE","70190"
"709","MOLLANS","70240"
"710","ORMOY","70500"
"711","SCYE","70170"
"712","THIENANS","70230"
"713","TRESILLEY","70190"
"714","VILLERS PATER","70190"
"715","VORAY SUR L OGNON","70190"
"716","BRIENNE","71290"
"717","CHANGY","71120"
"718","MONTEILS","82300"
"719","PIQUECOS","82130"
"720","ST BEAUZEIL","82150"
"721","VALENCE","82400"
"722","BARGEMON","83830"
"723","LE CASTELLET","83330"
"724","LA MOLE","83310"
"725","SILLANS LA CASCADE","83690"
"726","TOULON","83000"
"727","AVIGNON","84000"
"728","BEAUMES DE VENISE","84190"
"729","CADEROUSSE","84860"
"730","SARRIANS","84260"
"731","VACQUEYRAS","84190"
"732","LA BARRE DE MONTS","85550"
"733","BOUIN","85230"
"734","BOURNEZEAU","85480"
"735","CHAVAGNES LES REDOUX","85390"
"736","SIGOURNAIS","85110"
"737","THIRE","85210"
"738","GLENOUZE","86200"
"739","L ISLE JOURDAIN","86150"
"740","LAVAUSSEAU","86470"
"741","MONTS SUR GUESNES","86420"
"742","MOUTERRE SUR BLOURDE","86430"
"743","ST CHRISTOPHE","86230"
"744","ST LEGER DE MONTBRILLAIS","86120"
"745","ST MACOUX","86400"
"746","STE RADEGONDE","86300"
"747","TERNAY","86120"
"748","USSEAU","86230"
"749","VILLEMORT","86310"
"750","AUREIL","87220"
"751","BOISSEUIL","87220"
"752","MORTCERF","77163"
"753","OBSONVILLE","77890"
"754","ST OUEN SUR MORIN","77750"
"755","ST SAUVEUR LES BRAY","77480"
"756","SERVON","77170"
"757","VILLENAUXE LA PETITE","77480"
"758","VILLEROY","77410"
"759","BOINVILLE EN MANTOIS","78930"
"760","CLAIREFONTAINE EN YVELINES","78120"
"761","COIGNIERES","78310"
"762","LIMETZ VILLEZ","78270"
"763","LES MESNULS","78490"
"764","MEULAN EN YVELINES","78250"
"765","ORVILLIERS","78910"
"766","ASSAIS LES JUMEAUX","79600"
"767","CHANTECORPS","79340"
"768","CHANTELOUP","79320"
"769","LA CHAPELLE BATON","79220"
"770","HANC","79110"
"771","LARGEASSE","79240"
"772","LA PETITE BOISSIERE","79700"
"773","ST GERMAIN DE LONGUE CHAUME","79200"
"774","ST REMY","79410"
"775","SOUDAN","79800"
"776","VAUTEBIS","79420"
"777","ABBEVILLE","80100"
"778","AILLY LE HAUT CLOCHER","80690"
"779","AIRAINES","80270"
"780","AULT","80460"
"781","AUMONT","80640"
"782","AYENCOURT","80500"
"783","BAILLEUL","80490"
"784","BERTEAUCOURT LES THENNES","80110"
"785","BOUTTENCOURT","80220"
"786","BOUZINCOURT","80300"
"787","BREVILLERS","80600"
"788","CANTIGNY","80500"
"789","CONTRE","80160"
"790","COURCELLES AU BOIS","80560"
"791","DEMUIN","80110"
"792","DOMLEGER LONGVILLERS","80370"
"793","FLIXECOURT","80420"
"794","FRAMERVILLE RAINECOURT","80131"
"795","FRETTEMEULE","80220"
"796","FROHEN SUR AUTHIE","80370"
"797","GORENFLOS","80690"
"798","HALLENCOURT","80490"
"799","HANGEST EN SANTERRE","80134"
"800","HATTENCOURT","80700"
"801","BALAN","1360"
"802","BOURG ST CHRISTOPHE","1800"
"803","BOYEUX ST JEROME","1640"
"804","CHEZERY FORENS","1410"
"805","JOURNANS","1250"
"806","LHUIS","1680"
"807","OZAN","1190"
"808","RANCE","1390"
"809","VALEINS","1140"
"810","AUDIGNY","2120"
"811","BEAUME","2500"
"812","BICHANCOURT","2300"
"813","BLANZY LES FISMES","2160"
"814","BUIRONFOSSE","2620"
"815","CAULAINCOURT","2490"
"816","CRAONNE","2160"
"817","DERCY","2270"
"818","DORENGT","2450"
"819","EFFRY","2500"
"820","FLAVIGNY LE GRAND ET BEAURAIN","2120"
"821","FRESNOY LE GRAND","2230"
"822","LANDIFAY ET BERTAIGNEMONT","2120"
"823","LESGES","2220"
"824","LEUILLY SOUS COUCY","2380"
"825","LHUYS","2220"
"826","LUGNY","2140"
"827","MAREST DAMPCOURT","2300"
"828","MARLY GOMONT","2120"
"829","MERVAL","2160"
"830","MONTGRU ST HILAIRE","2210"
"831","LA NEUVILLE EN BEINE","2300"
"832","AUTRETOT","76190"
"833","AUVILLIERS","76270"
